[2025/05/29 10:47:39] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:05:24] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:05:24] - 0.04 	 0.36 	 7.88 	 329      	 0.0164 	 0.9010

[2025/05/29 11:05:33] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:05:33] - 0.04 	 0.37 	 7.99 	 336      	 0.0168 	 0.9028

[2025/05/29 11:05:42] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:05:42] - 0.04 	 0.38 	 7.90 	 352      	 0.0158 	 0.9011

[2025/05/29 11:05:52] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:05:52] - 0.04 	 0.39 	 8.20 	 365      	 0.0150 	 0.9006

[2025/05/29 11:06:01] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:06:01] - 0.04 	 0.40 	 7.85 	 376      	 0.0133 	 0.8987

[2025/05/29 11:06:10] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:06:10] - 0.05 	 0.10 	 7.57 	 97      	 0.9743 	 0.9332

[2025/05/29 11:06:18] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:06:18] - 0.05 	 0.11 	 7.55 	 105      	 0.8351 	 0.9309

[2025/05/29 11:06:27] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:06:27] - 0.05 	 0.12 	 7.97 	 113      	 0.7678 	 0.9310

[2025/05/29 11:06:36] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:06:36] - 0.05 	 0.13 	 7.59 	 124      	 0.8453 	 0.9302

[2025/05/29 11:06:45] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:06:45] - 0.05 	 0.14 	 7.71 	 132      	 0.8841 	 0.9298

[2025/05/29 11:06:54] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:06:54] - 0.05 	 0.15 	 7.57 	 141      	 0.6210 	 0.9298

[2025/05/29 11:07:02] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
