[2025/05/29 06:28:06] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:28:06] - 0.67 	 249.8 	 0.9959 	 0.4264 	 0.9174
[2025/05/29 06:32:17] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:32:17] - 0.68 	 250.1 	 0.9955 	 0.5097 	 0.9185
[2025/05/29 06:36:28] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:36:28] - 0.69 	 250.1 	 0.9954 	 0.3406 	 0.9168
[2025/05/29 06:40:39] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:40:39] - 0.70 	 250.1 	 0.9958 	 0.4912 	 0.9175
[2025/05/29 06:44:50] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:44:50] - 0.71 	 250.1 	 0.9955 	 0.3934 	 0.9183
[2025/05/29 06:49:01] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:49:01] - 0.72 	 249.7 	 0.9971 	 0.4027 	 0.9175
[2025/05/29 06:53:12] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:53:12] - 0.73 	 250.2 	 0.9962 	 0.5609 	 0.9167
[2025/05/29 06:57:23] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:57:23] - 0.74 	 250.1 	 0.9965 	 0.5338 	 0.9144
[2025/05/29 07:01:34] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:01:34] - 0.75 	 250.0 	 0.9965 	 0.6208 	 0.9152
[2025/05/29 07:05:46] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:05:46] - 0.76 	 250.4 	 0.9963 	 0.6200 	 0.9174
[2025/05/29 07:09:57] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:09:57] - 0.77 	 250.2 	 0.9972 	 0.4931 	 0.9167
[2025/05/29 07:14:08] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:14:08] - 0.78 	 249.8 	 0.9972 	 0.4428 	 0.9171
[2025/05/29 07:18:19] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:18:19] - 0.79 	 249.9 	 0.9973 	 0.4497 	 0.9181
[2025/05/29 07:22:30] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:22:30] - 0.80 	 250.1 	 0.9966 	 0.7040 	 0.9185
[2025/05/29 07:26:41] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:26:41] - 0.81 	 249.9 	 0.9973 	 0.6101 	 0.9194
[2025/05/29 07:30:51] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:30:51] - 0.82 	 249.7 	 0.9974 	 0.7524 	 0.9183
[2025/05/29 07:35:02] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:35:02] - 0.83 	 249.6 	 0.9968 	 0.5242 	 0.9169
[2025/05/29 07:39:13] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:39:13] - 0.84 	 249.7 	 0.9974 	 0.5978 	 0.9183
[2025/05/29 07:43:23] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:43:23] - 0.85 	 249.9 	 0.9973 	 0.5824 	 0.9192
[2025/05/29 07:47:34] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:47:34] - 0.86 	 249.9 	 0.9975 	 0.6911 	 0.9174
[2025/05/29 07:51:45] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:51:45] - 0.87 	 249.9 	 0.9981 	 0.7081 	 0.9175
[2025/05/29 07:55:56] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 07:55:56] - 0.88 	 249.8 	 0.9974 	 0.6212 	 0.9177
[2025/05/29 08:00:07] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:00:07] - 0.89 	 249.6 	 0.9977 	 0.8330 	 0.9195
[2025/05/29 08:04:17] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:04:17] - 0.90 	 249.7 	 0.9980 	 0.8146 	 0.9142
[2025/05/29 08:08:28] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:08:28] - 0.91 	 249.5 	 0.9978 	 0.9024 	 0.9185
[2025/05/29 08:12:39] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:12:39] - 0.92 	 249.9 	 0.9976 	 0.7697 	 0.9181
[2025/05/29 08:16:50] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:16:50] - 0.93 	 250.3 	 0.9983 	 0.6916 	 0.9172
[2025/05/29 08:21:03] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:21:03] - 0.94 	 251.6 	 0.9984 	 0.9429 	 0.9176
[2025/05/29 08:25:14] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:25:14] - 0.95 	 249.7 	 0.9979 	 0.8778 	 0.9161
[2025/05/29 08:29:24] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:29:24] - 0.96 	 249.9 	 0.9982 	 0.9719 	 0.9154
[2025/05/29 08:33:35] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:33:35] - 0.97 	 250.0 	 0.9983 	 0.7754 	 0.9183
[2025/05/29 08:37:46] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:37:46] - 0.98 	 249.9 	 0.9986 	 0.8259 	 0.9159
[2025/05/29 08:41:58] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 08:41:58] - 0.99 	 250.2 	 0.9986 	 0.9766 	 0.9159
