[2025/05/28 20:12:45] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:16:36] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:19] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:22] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 21:11:35] - 24 	 0.100 	 21.7 	 0.2989 	 0.8974 	 0.0010 	 0.9996 	 0.6527 	 0.7950
[2025/05/28 21:11:57] - 25 	 0.100 	 21.7 	 0.2907 	 0.8996 	 0.0076 	 0.9986 	 0.5089 	 0.8388
[2025/05/28 21:12:19] - 26 	 0.100 	 21.7 	 0.2820 	 0.9029 	 0.0113 	 0.9966 	 0.4290 	 0.8570
[2025/05/28 21:12:40] - 27 	 0.100 	 21.7 	 0.2732 	 0.9052 	 0.0157 	 0.9958 	 0.6409 	 0.8082
[2025/05/28 21:13:02] - 28 	 0.100 	 21.7 	 0.2776 	 0.9040 	 0.2035 	 0.9431 	 0.4695 	 0.8415
[2025/05/28 21:13:24] - 29 	 0.100 	 21.7 	 0.2669 	 0.9082 	 0.0213 	 0.9939 	 0.5579 	 0.8204
[2025/05/28 21:13:46] - 30 	 0.100 	 21.7 	 0.2607 	 0.9099 	 0.0018 	 0.9991 	 0.6723 	 0.7894
[2025/05/28 21:14:07] - 31 	 0.010 	 21.7 	 0.1521 	 0.9492 	 0.0003 	 1.0000 	 0.2537 	 0.9133
[2025/05/28 21:14:29] - 32 	 0.010 	 21.7 	 0.1096 	 0.9643 	 0.0004 	 1.0000 	 0.2458 	 0.9172
[2025/05/28 21:14:51] - 33 	 0.010 	 21.7 	 0.0922 	 0.9707 	 0.0004 	 1.0000 	 0.2396 	 0.9219
[2025/05/28 21:15:13] - 34 	 0.010 	 21.7 	 0.0823 	 0.9740 	 0.0003 	 1.0000 	 0.2384 	 0.9198
[2025/05/28 21:15:34] - 35 	 0.010 	 21.7 	 0.0743 	 0.9758 	 0.0003 	 1.0000 	 0.2431 	 0.9201
